Latitude	Longitude	Elevation (metres)	Distance (KMs)	Gradient
-26.99722	28.595503	1518	454.592	-2
-26.99657	28.59511	1516	454.674	4
-26.995963	28.594743	1519	454.751	3
-26.995357	28.594377	1521	454.828	1
-26.99475	28.59401	1522	454.904	2
-26.994036	28.593582	1524	454.995	2
-26.993322	28.593154	1526	455.085	2
-26.992608	28.592726	1528	455.175	2
-26.991894	28.592298	1530	455.265	1
-26.99118	28.59187	1531	455.355	2
-26.99066	28.591555	1532	455.421	2
-26.99014	28.59124	1533	455.487	2
-26.989488	28.590852	1535	455.569	0
-26.988835	28.590465	1535	455.651	0
-26.988183	28.590078	1535	455.733	1
-26.98753	28.58969	1536	455.815	1
-26.986817	28.589265	1537	455.905	3
-26.986105	28.58884	1540	455.995	1
-26.985393	28.588415	1541	456.085	2
-26.98468	28.58799	1543	456.175	3
-26.98423	28.58771	1545	456.232	2
-26.98374	28.58741	1546	456.294	1
-26.98358	28.58731	1546	456.314	-1
-26.98297	28.586945	1545	456.391	1
-26.98236	28.58658	1546	456.468	1
-26.98178	28.58621	1547	456.543	1
-26.9812	28.58584	1548	456.617	1
-26.98052	28.585427	1549	456.703	0
-26.97984	28.585013	1549	456.789	2
-26.97916	28.5846	1551	456.875	3
-26.978575	28.584245	1553	456.949	3
-26.97799	28.58389	1555	457.023	5
-26.977293	28.583467	1559	457.111	3
-26.976597	28.583043	1562	457.2	1
-26.9759	28.58262	1563	457.288	-1
-26.97533	28.58227	1562	457.36	0
-26.97468	28.58188	1562	457.442	0
-26.97403	28.58149	1562	457.524	-1
-26.97341	28.581115	1561	457.603	-1
-26.97279	28.58074	1560	457.681	0
-26.972145	28.58035	1560	457.763	-1
-26.9715	28.57996	1559	457.844	0
-26.970765	28.579513	1559	457.937	1
-26.97003	28.579067	1560	458.03	1
-26.969295	28.57862	1561	458.123	0
-26.96856	28.578173	1561	458.216	0
-26.967825	28.577727	1561	458.309	0
-26.96709	28.57728	1561	458.402	0
-26.966335	28.57682	1561	458.498	-2
-26.96558	28.57636	1559	458.594	-2
-26.96535	28.57623	1559	458.622	-2
-26.96488	28.57594	1558	458.682	0
-26.96441	28.57565	1558	458.742	2
-26.96401	28.57541	1559	458.792	2
-26.96361	28.57517	1560	458.843	1
-26.96346	28.57507	1560	458.862	0
-26.962905	28.574735	1560	458.932	1
-26.96235	28.5744	1561	459.002	0
-26.96167	28.573985	1561	459.089	1
-26.96099	28.57357	1562	459.175	2
-26.96061	28.57334	1564	459.223	5
-26.9603	28.57314	1566	459.263	2
-26.95967	28.572747	1568	459.343	0
-26.95904	28.572355	1568	459.423	2
-26.95841	28.571963	1570	459.503	2
-26.95778	28.57157	1572	459.584	1
-26.957153	28.571177	1573	459.663	1
-26.956527	28.570783	1574	459.743	-1
