Latitude,Longitude,Elevation (metres),Distance (KMs),Gradient
-27.018337,27.56259,1467,955.25,1
-27.017723,27.5628,1468,955.322,0
-27.01711,27.56301,1468,955.393,0
-27.01685,27.5631,1468,955.424,1
-27.01599,27.56339,1469,955.523,1
-27.0154,27.56359,1470,955.592,2
-27.014835,27.563785,1471,955.658,2
-27.01427,27.56398,1472,955.724,2
-27.013825,27.564135,1473,955.776,0
-27.01338,27.56429,1473,955.827,3
-27.01284,27.56447,1475,955.89,2
-27.0123,27.56465,1476,955.953,1
-27.01163,27.56488,1477,956.031,3
-27.01096,27.56511,1479,956.109,4
-27.01029,27.56534,1482,956.187,2
-27.009527,27.565593,1484,956.275,1
-27.008763,27.565847,1485,956.364,3
-27.008,27.5661,1488,956.453,1
-27.007175,27.56638,1489,956.549,3
-27.00635,27.56666,1492,956.645,0
-27.00566,27.56689,1492,956.725,0
-27.005,27.56712,1492,956.802,1
-27.00424,27.56739,1493,956.89,0
-27.00348,27.56766,1493,956.979,1
-27.00272,27.56793,1494,957.068,1
-27.00196,27.5682,1495,957.157,0
-27.0012,27.56847,1495,957.245,1
-27.00044,27.56874,1496,957.334,1
-26.99968,27.56901,1497,957.423,0
-26.99887,27.56932,1497,957.518,0
-26.99811,27.5696,1497,957.607,-2
-26.99755,27.56983,1496,957.673,-2
-26.99699,27.57006,1495,957.74,0
-26.996305,27.57038,1495,957.822,-1
-26.99562,27.5707,1494,957.905,-2
-26.99515,27.57092,1493,957.962,0
-26.99468,27.57114,1493,958.018,0
-26.99412,27.57142,1493,958.087,-3
-26.99356,27.5717,1491,958.155,-1
-26.993,27.57198,1490,958.223,0
-26.99247,27.57222,1490,958.287,-1
-26.991883,27.572513,1489,958.358,-1
-26.991297,27.572807,1488,958.43,-1
-26.99071,27.5731,1487,958.501,-2
-26.990008,27.57346,1485,958.587,1
-26.989305,27.57382,1486,958.673,-1
-26.988603,27.57418,1485,958.759,-1
-26.9879,27.57454,1484,958.845,-1
-26.987163,27.574917,1483,958.935,0
